name_en,unemployment_rate_null,n_obs,null_percentage
Austria,0,648,0.0
Belgium,0,1008,0.0
Bulgaria,180,576,0.3125
Croatia,216,324,0.6666666666666666
Cyprus,0,396,0.0
Czech Republic,0,468,0.0
Denmark,0,1008,0.0
Estonia,0,387,0.0
Finland,0,828,0.0
France,0,1008,0.0
Germany (including  former GDR from 1991),0,504,0.0
Greece,0,450,0.0
Hungary,36,576,0.0625
Ireland,0,1008,0.0
Italy,0,924,0.0
Latvia,0,459,0.0
Lithuania,0,459,0.0
Luxembourg,0,1008,0.0
Malta,180,576,0.3125
Netherlands,0,1008,0.0
Norway,0,786,0.0
Poland,72,576,0.125
Portugal,0,1008,0.0
Romania,0,423,0.0
Slovakia,108,576,0.1875
Slovenia,36,576,0.0625
Spain,117,1008,0.11607142857142858
Sweden,0,1008,0.0
Turkey,0,210,0.0
United Kingdom,0,1002,0.0
